ba_ref,prop_ba_rates,occupant_name,postcode,occupation_state,occupation_state_date,occupation_state_reliefs,la_code,rates_code,confidence,slug
50400186004169,495.0,20135 BMBC,S754LS,True,2016-01-07 00:00:00+00:00,,E08000016,50400186004169,100.0,LQJgThIcIQPvtFfbcsXpgGSC
50400186004168,495.0,20135 BMBC,S753LF,True,2016-01-07 00:00:00+00:00,,E08000016,50400186004168,100.0,7QZLgbQb7KxG2TcqmZTXt7HF
51300092004167,495.0,20135 BMBC,S702SB,True,2016-01-07 00:00:00+00:00,,E08000016,51300092004167,100.0,M3RZx3BMhqNrGd93CmHQ5dTD
50505236004173,495.0,20135 BMBC,S749SH,True,2016-01-07 00:00:00+00:00,,E08000016,50505236004173,100.0,5GqGbGZZhVLJPzXgNmSsQLQD
51000245000898,4300.0,20135 HIGHWAYS BMBC,S713GN,True,2015-05-15 01:00:00+01:00,,E08000016,51000245000898,100.0,pPGsVtj2NJsDpcHtZXLPkXvF
53434032955384,630.0,20159 BARNSLEY MBC,S728HW,True,2003-04-01 01:00:00+01:00,,E08000016,53434032955384,100.0,cJbG29rGqDbbd72TTKTXp5T2
51010089004869,1900.0,20202 BARNSLEY MBC,S713EY,True,2015-04-01 01:00:00+01:00,,E08000016,51010089004869,100.0,LGXGsRXxgSbPHdz9hf32sQ39
50303265025496,1225.0,20209 BARNSLEY MBC,S630JZ,True,2003-04-01 01:00:00+01:00,,E08000016,50303265025496,100.0,DtRmSZdkcHIIbf32IPFXMtmF
51111115927899,2900.0,20212 BARNSLEY MBC,S703DJ,True,2003-04-01 01:00:00+01:00,,E08000016,51111115927899,100.0,3jFTdPPtRHNFFQpkTj7JgrjD
50101101962378,3650.0,20212 BARNSLEY MBC,S739LQ,True,2003-04-01 01:00:00+01:00,,E08000016,50101101962378,100.0,PItLfHF3fkS5prnxcbIg7PqC
50303068020275,930.0,20214 BARNSLEY MBC,S639HL,True,2003-04-01 01:00:00+01:00,,E08000016,50303068020275,100.0,DbcKz5zCBPk72ns7HpsNQng7
50707140004884,1350.0,20217 BARNSLEY MBC,S738FQ,True,2015-04-01 01:00:00+01:00,,E08000016,50707140004884,100.0,bmq75xzqd33XXJrItf5xSG5B
52222030007893,8900.0,20263 BARNSLEY MBC,S754AT,True,2018-11-01 00:00:00+00:00,,E08000016,52222030007893,100.0,sHDMgkKjj9h2VILQrRCntJLD
50909113930789,12500.0,20376 BARNSLEY MBC,S366DY,True,2001-04-01 01:00:00+01:00,,E08000016,50909113930789,100.0,v9StNJPCjmQzkbmIR5n7TdZB
51300135950469,57500.0,20382 BARNSLEY MBC,S702DJ,True,2001-04-01 01:00:00+01:00,,E08000016,51300135950469,100.0,tsNKDrR2mMHZnfxVmDPDRMfB
51100060003647,115000.0,20383 BARNSLEY MBC,S702AH,True,2013-06-27 01:00:00+01:00,,E08000016,51100060003647,100.0,vfxKdqkT9bbmPfgVCJR3bMV2
51100060007563,93500.0,20383 BARNSLEY MBC,S702AH,True,2019-02-26 00:00:00+00:00,,E08000016,51100060007563,100.0,cvx5ZX3s3dq2dt9FFtZDFZ7D
51313153002956,35500.0,20384 BARNSLEY MBC,S701SS,True,2016-07-04 01:00:00+01:00,,E08000016,51313153002956,100.0,2McMRvtcGIV5Fr9HTrXxghTB
51313153003628,137000.0,20384 BARNSLEY MBC,S701WA,True,2014-02-17 00:00:00+00:00,,E08000016,51313153003628,100.0,XZqtXCbkvbXIzC7NFqgVmt77
51313161004873,119000.0,20395 BARNSLEY MBC,S702HG,True,2015-04-01 01:00:00+01:00,,E08000016,51313161004873,100.0,kKFN2TSpsV5tjqKBKNtJdMV5
51300135984496,20250.0,20398 BARNSLEY MBC,S702DJ,True,2001-04-01 01:00:00+01:00,,E08000016,51300135984496,100.0,ZnmqJPfmPRgMKdZVBhqTXbI2
50505181002770,41750.0,20402 BARNSLEY MBC,S749AF,True,2016-04-01 01:00:00+01:00,,E08000016,50505181002770,100.0,gzffmG5mQhPTpxNvzS5IpdX3
51111021062135,122000.0,20403 BARNSLEY MBC,S711HG,True,2005-04-01 01:00:00+01:00,,E08000016,51111021062135,100.0,JZChHjjJfjMnJfQ7gRfNfnTC
50500009920274,5500.0,20674 BARNSLEY MBC,S749TL,True,2008-01-01 00:00:00+00:00,,E08000016,50500009920274,100.0,vVmBgDPtKXC7xCZ7CRpLCV55
50500009097161,5500.0,20674 BARNSLEY MBC,S749TL,True,2008-01-01 00:00:00+00:00,,E08000016,50500009097161,100.0,sbHbp23LVHV3XdIPnv3kZmK7
50101016912185,425.0,20676 BARNSLEY MBC,S739JX,True,2000-04-01 01:00:00+01:00,,E08000016,50101016912185,100.0,NGTLHMKXq7SRTPF5X3IxvIgC
51111072939128,470.0,20676 BARNSLEY MBC,S702DQ,True,2000-04-01 01:00:00+01:00,,E08000016,51111072939128,100.0,zVnkMnHGsCPXfz7pn5Cxk2S5
